filename,original_text,processed_text
tester2.txt,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc.
",many variations passages lorem ipsum available majority suffered alteration form injected humour randomised words dont look even slightly believable going use passage lorem ipsum need sure isnt anything embarrassing hidden middle text lorem ipsum generators internet tend repeat predefined chunks necessary making first true generator internet uses dictionary 200 latin words combined handful model sentence structures generate lorem ipsum looks reasonable generated lorem ipsum therefore always free repetition injected humour noncharacteristic words etc
tester.txt,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
",lorem ipsum simply dummy text printing typesetting industry lorem ipsum industrys standard dummy text ever since 1500s unknown printer took galley type scrambled make type specimen book survived five centuries also leap electronic typesetting remaining essentially unchanged popularised 1960s release letraset sheets containing lorem ipsum passages recently desktop publishing software like aldus pagemaker including versions lorem ipsum
tester2.txt,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc.
",many variations passages lorem ipsum available majority suffered alteration form injected humour randomised words dont look even slightly believable going use passage lorem ipsum need sure isnt anything embarrassing hidden middle text lorem ipsum generators internet tend repeat predefined chunks necessary making first true generator internet uses dictionary 200 latin words combined handful model sentence structures generate lorem ipsum looks reasonable generated lorem ipsum therefore always free repetition injected humour noncharacteristic words etc
tester.txt,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
",lorem ipsum simply dummy text printing typesetting industry lorem ipsum industrys standard dummy text ever since 1500s unknown printer took galley type scrambled make type specimen book survived five centuries also leap electronic typesetting remaining essentially unchanged popularised 1960s release letraset sheets containing lorem ipsum passages recently desktop publishing software like aldus pagemaker including versions lorem ipsum
tester2.txt,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc.
",many variations passages lorem ipsum available majority suffered alteration form injected humour randomised words dont look even slightly believable going use passage lorem ipsum need sure isnt anything embarrassing hidden middle text lorem ipsum generators internet tend repeat predefined chunks necessary making first true generator internet uses dictionary 200 latin words combined handful model sentence structures generate lorem ipsum looks reasonable generated lorem ipsum therefore always free repetition injected humour noncharacteristic words etc
tester.txt,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
",lorem ipsum simply dummy text printing typesetting industry lorem ipsum industrys standard dummy text ever since 1500s unknown printer took galley type scrambled make type specimen book survived five centuries also leap electronic typesetting remaining essentially unchanged popularised 1960s release letraset sheets containing lorem ipsum passages recently desktop publishing software like aldus pagemaker including versions lorem ipsum
